model,n_tfidf,n_embed,use_dict,n_test,bleu,chrf,chrfpp
claude-haiku-4-5-20251001,0,0,False,43,0.01,5.39,4.14
claude-haiku-4-5-20251001,0,0,True,43,0.01,5.25,4.02
claude-haiku-4-5-20251001,5,0,False,43,0.24,13.74,11.84
claude-haiku-4-5-20251001,5,0,True,43,0.2,12.85,10.88
claude-haiku-4-5-20251001,10,0,False,43,2.25,20.41,18.31
claude-haiku-4-5-20251001,10,0,True,43,2.35,20.42,18.23
