model,n_tfidf,n_embed,use_dict,n_test,bleu,chrf,chrfpp
gemini-2.5-flash-lite,0,0,False,43,0.18,12.45,9.42
gemini-2.5-flash-lite,0,0,True,43,0.21,12.35,9.39
gemini-2.5-flash-lite,5,0,False,43,0.08,6.53,5.7
gemini-2.5-flash-lite,5,0,True,43,0.67,16.38,14.06
gemini-2.5-flash-lite,10,0,False,43,2.24,19.44,17.25
gemini-2.5-flash-lite,10,0,True,43,0.44,10.57,9.46
